Columns,Count
WELLNAME,45
COMMENTS,43
ENTITLEMENT,43
BARCODE_1,43
SOURCE,43
BARCODE_2,37
BARCODE_3,37
BARCODE_4,37
STANDARDOILFIELD,33
BARCODE_5,30
BARCODE_6,30
HORIZON,23
STANDARDHORIZON,23
BARCODE,10
SPECIFICGRAVITYUNIT,8
OILFIELD,6
MEASUREMENTDATE,6
CONTRACTOR,6
TECTONICBLOCK,6
PARENTBARCODE,5
WRDATE,5
LINKTYPE,5
FILENAME,5
CHAPTERTITLE,5
CHAPTER,5
WRMEDIUM,5
WRQUALITY,5
WROTHERSUBJECT,5
WRMAINSUBJECT,5
WRAUTHOR,5
INTERVALSTART,5
WRCATEGORY,5
INTERVALEND,5
FILTEREND,5
FILTERSTART,5
Unnamed: 12,4
PRESSUREBEHINDPIPESTART,4
BUFFERPRESSUREEND,4
BUFFERPRESSURESTART,4
DIAMETEROFTHIRDCHOKE,4
DIAMETEROFSECONDCHOKE,4
DIAMETEROFFIRSTCHOKE,4
DOCUMENTMEDIA,4
ELEVATIONREFERENCE,4
PERFORMEDWORKTYPE,4
ALTITUDEREFERENCE,4
TITLE,4
AUTHOR,4
Unnamed: 43,4
Unnamed: 42,4
DENSITYUNIT,4
SPECIFICGRAVITY,4
BUFFERPRESSUREUNIT,4
VISCOSITYUNIT,4
PRESSUREBEHINDPIPEEND,4
PRESSUREBEHINDPIPEUNIT,4
HORIZONDEPTHTOP,4
HORIZONDEPTHBOTTOM,4
FLOOR,4
SURVEYNAME,4
PERFORMEDWORKCLASS,4
CIRCULARPRESSURESTART,4
CIRCULARPRESSUREEND,4
CIRCULARPRESSUREUNIT,4
VERT_SCALE,3
Unnamed: 41,3
REF_NUM,3
QUAD_BLOCK,3
CATEGORY,3
PUB_DATE,3
PRODUCTIONMETHOD,3
PUBLISHER,3
VOLUME,3
ENCLOSURE,3
HOR_SCALE,3
Unnamed: 37,3
Unnamed: 36,3
Unnamed: 34,3
Unnamed: 11,3
Unnamed: 44,3
Unnamed: 35,3
Unnamed: 13,3
Unnamed: 49,3
DOCUMENTQUALITY,3
DIGITALFORMAT,3
RESEARCHAREA,3
ENVIRONMENT,3
LICENSE,3
CALCIUMIONS,2
ACTUALCASINGDEPTHEND,2
Unnamed: 33,2
Unnamed: 38,2
ACTUALCASINGCEMENTTOTALHEIGHT,2
Unnamed: 32,2
ACTUALCASINGNOTES,2
CEMENTCONSUMPTION,2
GRADEOFCEMENT,2
PERFORATIONCOMMENTS,2
SHALEDENSITYUNIT,2
DENSITYOFSHALECOMPONENTEND,2
DENSITYOFSHALECOMPONENTSTART,2
BICARBONATEIONS,2
CARBONATEIONS,2
PERFORATIONTOOLNUMBER,2
PERFORATIONTOOLTYPE,2
NUMBEROFPERFORATIONS,2
PERFORATOR,2
PERFORATIONINTERVALEND,2
PERFORATIONINTERVALSTART,2
PERFORATIONDATE,2
WELLBOTTOMDEPTH,2
NAPTHENICACID,2
ACTUALCASINGDEPTHSTART,2
PALMERS1,2
ACTUALCASINGDIAMETER_5,2
IONEQUIV,2
PLANNEDCASINGDIAMETER_2,2
PLANNEDCASINGDIAMETER_1,2
PLANNEDCASINGINFORMATION,2
WATERTYPE,2
BARCODE_7,2
IONSEQUIVUNIT,2
BICARBONATEIONSEQIV,2
IONEQUIVSUMX2,2
ACTUALCASINGDIAMETER_4,2
TETRABORICACIDPERCENT,2
CARBONATEIONSEQIV,2
