,LINK_WELL_DOCUMENT,TB_HORIZONDEPTHS,TB_WELLDEVIATION,TB_WELLDOCUMENTS,TB_WELLLOGS,TBX_SCANNEDFILES
BARCODE,True,False,False,False,False,True
WELLNAME,True,True,True,True,True,False
BARCODE_1,False,True,True,True,True,False
BARCODE_2,False,True,True,False,True,False
BARCODE_3,False,True,True,False,True,False
BARCODE_4,False,True,True,False,True,False
BARCODE_5,False,True,False,False,True,False
BARCODE_6,False,True,False,False,True,False
SOURCE,False,True,True,True,True,False
STANDARDOILFIELD,False,True,True,False,True,False
HORIZON,False,True,False,False,False,False
STANDARDHORIZON,False,True,False,False,False,False
HORIZONDEPTHTOP,False,True,False,False,False,False
HORIZONDEPTHBOTTOM,False,True,False,False,False,False
FLOOR,False,True,False,False,False,False
COMMENTS,False,True,True,True,True,False
ENTITLEMENT,False,True,True,True,True,False
MEASUREDDEPTH,False,False,True,False,False,False
INCLINATIONDEGREES,False,False,True,False,False,False
INCLINATIONMINUTES,False,False,True,False,False,False
INCLINATIONANGLE,False,False,True,False,False,False
AZIMUTHANGLE,False,False,True,False,False,False
INCLINATIONDATE,False,False,True,False,False,False
INCLINATIONTOOLTYPE,False,False,True,False,False,False
INCLINATIONTOOLNAME,False,False,True,False,False,False
STARTDEPTHDEVIATION,False,False,True,False,False,False
ENDDEPTHDEVIATION,False,False,True,False,False,False
DEVIATION,False,False,True,False,False,False
USERECORD,False,False,True,False,False,False
WRCATEGORY,False,False,False,True,False,False
WRDATE,False,False,False,True,False,False
WRAUTHOR,False,False,False,True,False,False
WRMAINSUBJECT,False,False,False,True,False,False
WROTHERSUBJECT,False,False,False,True,False,False
WRQUALITY,False,False,False,True,False,False
WRMEDIUM,False,False,False,True,False,False
PARENTBARCODE,False,False,False,False,True,False
LOGTYPE,False,False,False,False,True,False
LOGCATEGORY,False,False,False,False,True,False
CONTRACTOR,False,False,False,False,True,False
RUNDATE,False,False,False,False,True,False
RUNNUMBER,False,False,False,False,True,False
TOPLOGINTERVAL,False,False,False,False,True,False
BOTTOMLOGINTERVAL,False,False,False,False,True,False
DEPTHUNIT,False,False,False,False,True,False
SCALE_1,False,False,False,False,True,False
LOGUNITS_1,False,False,False,False,True,False
SCALE_2,False,False,False,False,True,False
LOGUNITS_2,False,False,False,False,True,False
SCALE_3,False,False,False,False,True,False
LOGUNITS_3,False,False,False,False,True,False
SCALE_4,False,False,False,False,True,False
LOGUNITS_4,False,False,False,False,True,False
SCALE_5,False,False,False,False,True,False
LOGUNITS_5,False,False,False,False,True,False
SCALE_6,False,False,False,False,True,False
LOGUNITS_6,False,False,False,False,True,False
SCALE_7,False,False,False,False,True,False
LOGUNITS_7,False,False,False,False,True,False
SCALE_8,False,False,False,False,True,False
LOGUNITS_8,False,False,False,False,True,False
DOCUMENTMEDIA,False,False,False,False,True,False
DIGITALFORMAT,False,False,False,False,True,False
DOCUMENTQUALITY,False,False,False,False,True,False
ELEVATIONREFERENCE,False,False,False,False,True,False
ALTITUDEREFERENCE,False,False,False,False,True,False
TOOLNAME,False,False,False,False,True,False
TYPEOFMUDFLUID,False,False,False,False,True,False
SPECIFICGRAVITYOFMUDFLUID,False,False,False,False,True,False
SPECIFICGRAVITYUNIT,False,False,False,False,True,False
VISCOSITYOFMUDFLUID,False,False,False,False,True,False
VISCOSITYUNIT,False,False,False,False,True,False
TEMPERATURE,False,False,False,False,True,False
CHAPTER,False,False,False,False,False,True
CHAPTERTITLE,False,False,False,False,False,True
FILENAME,False,False,False,False,False,True
LINKTYPE,False,False,False,False,False,True
