,LINK_WELL_DOCUMENT,TB_DRAWINGSMAPS,TB_SEISMICDOCUMENTS,TB_SEISMICSURVEYS,TB_WELLDOCUMENTS,TBX_SCANNEDFILES
BARCODE,True,False,False,False,False,True
SURVEYNAME,True,True,True,True,False,False
BARCODE_1,False,True,True,True,True,False
BARCODE_2,False,True,False,True,False,False
BARCODE_3,False,True,False,True,False,False
BARCODE_4,False,True,False,True,False,False
PARENTBARCODE,False,True,False,False,False,False
TITLE,False,True,True,False,False,False
CATEGORY,False,True,False,False,False,False
SOURCE,False,True,True,True,True,False
AUTHOR,False,True,True,False,False,False
REF_NUM,False,True,False,False,False,False
CONTRACTOR,False,True,True,False,False,False
LICENSE,False,True,False,False,False,False
OILFIELD,False,True,False,False,False,False
TECTONICBLOCK,False,True,False,False,False,False
QUAD_BLOCK,False,True,False,False,False,False
PROVINCE,False,True,False,True,False,False
PUB_DATE,False,True,False,False,False,False
PUBLISHER,False,True,False,False,False,False
DOCUMENTMEDIA,False,True,True,False,False,False
VOLUME,False,True,False,False,False,False
ENCLOSURE,False,True,False,False,False,False
HOR_SCALE,False,True,False,False,False,False
VERT_SCALE,False,True,False,False,False,False
WELLNAME,False,True,False,False,True,False
RESEARCHAREA,False,True,True,True,False,False
COMMENTS,False,True,True,True,True,False
ENTITLEMENT,False,True,True,True,True,False
REPORTSUBJECT,False,False,True,False,False,False
COMPANY,False,False,True,True,False,False
REPORTDATE,False,False,True,False,False,False
DIGITALFORMAT,False,False,True,False,False,False
DOCUMENTQUALITY,False,False,True,False,False,False
ORIG_REF_NUM,False,False,True,False,False,False
SURVEYTYPE,False,False,False,True,False,False
VELOCITYMODEL,False,False,False,True,False,False
NOOFCROSSLINES3D,False,False,False,True,False,False
NOOFINLINES3D,False,False,False,True,False,False
ENVIRONMENT,False,False,False,True,False,False
GEOLOGICALBASIN,False,False,False,True,False,False
CONCESSIONBLOCK,False,False,False,True,False,False
AREAFIELDSITE,False,False,False,True,False,False
SHOOTINGCONTRACTOR,False,False,False,True,False,False
DATESHOT,False,False,False,True,False,False
SURVEYVESSELNAME,False,False,False,True,False,False
PROCESSINGCONTRACTOR,False,False,False,True,False,False
PROCESSEDDATE,False,False,False,True,False,False
TOTALKM,False,False,False,True,False,False
SPINTERVAL,False,False,False,True,False,False
GROUPLENGTH,False,False,False,True,False,False
RECORDINGFORMAT,False,False,False,True,False,False
RECORDLENGTH,False,False,False,True,False,False
SAMPLERATE,False,False,False,True,False,False
WRCATEGORY,False,False,False,False,True,False
WRDATE,False,False,False,False,True,False
WRAUTHOR,False,False,False,False,True,False
WRMAINSUBJECT,False,False,False,False,True,False
WROTHERSUBJECT,False,False,False,False,True,False
WRQUALITY,False,False,False,False,True,False
WRMEDIUM,False,False,False,False,True,False
CHAPTER,False,False,False,False,False,True
CHAPTERTITLE,False,False,False,False,False,True
FILENAME,False,False,False,False,False,True
LINKTYPE,False,False,False,False,False,True
