Columns,Count
BARCODE_1,6
ENTITLEMENT,6
SOURCE,6
COMMENTS,6
RESEARCHAREA,6
BARCODE_2,5
BARCODE_3,5
BARCODE_4,5
SURVEYNAME,5
TITLE,3
BARCODE,2
LINENUMBER,2
DIGITALFORMAT,2
DOCUMENTQUALITY,2
SPACINGINTERVAL,2
RECORDLENGTH,2
SAMPLEINTERVAL,2
GROUPINTERVAL,2
COMPANY,2
FIRSTSHOTPOINT,2
LASTSHOTPOINT,2
VELOCITYMODEL,2
DOCUMENTMEDIA,2
ORIG_REF_NUM,2
PUB_DATE,2
SURVEY_NAME,2
OILFIELD,2
TECTONICBLOCK,2
REGION,2
PUBLISHER,2
MEDIA,2
ENCLOSURE,2
AUTHOR,2
PARENTBARCODE,2
CONTRACTOR,2
CATEGORY,2
PROCESSINGCONTRACTOR,1
TOTALKM,1
SURVEYVESSELNAME,1
DATESHOT,1
PROCESSEDDATE,1
SHOOTINGCONTRACTOR,1
AREAFIELDSITE,1
CONCESSIONBLOCK,1
LICENSE,1
GEOLOGICALBASIN,1
SPINTERVAL,1
GROUPLENGTH,1
RECORDINGFORMAT,1
SAMPLERATE,1
CHAPTER,1
CHAPTERTITLE,1
FILENAME,1
PROVINCE,1
FOLD,1
ENVIRONMENT,1
NOOFINLINES3D,1
VOLUME,1
HOR_SCALE,1
VERT_SCALE,1
WELLNAME,1
REPORTSUBJECT,1
REPORTDATE,1
REF_NUM,1
DIRECTION,1
SECTIONNAME,1
SECTIONTYPE,1
QUAD_BLOCK,1
VERTICALSCALE,1
HORIZONTALSCALE,1
SURVEYTYPE,1
NOOFCROSSLINES3D,1
LINKTYPE,1
