,LINK_WELL_DOCUMENT,TB_COREINFORMATION,TB_DRAWINGSMAPS,TB_DRILLINGPARAMETERS,TB_FORMATIONPRESSURES,TB_FORMATIONTEMPERATURES,TB_GASANALYSIS,TB_GASFACTORS,TB_HORIZONDEPTHS,TB_INJECTIONANDPRODUCTION,TB_OILANALYSIS,TB_WATERANALYSIS,TB_WELLCONSTRUCTIONINFO,TB_WELLDOCUMENTS,TB_WELLLOGS,TB_WELLPERFORATION,TB_WELLS,TB_WELLSTOP,TB_WELLTESTINFO,TBX_SCANNEDFILES
BARCODE,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
WELLNAME,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
BARCODE_1,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
BARCODE_2,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False
BARCODE_3,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False
BARCODE_4,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False
BARCODE_5,False,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False
BARCODE_6,False,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False
SOURCE,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
STANDARDOILFIELD,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False
HORIZON,False,True,False,False,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,False
STANDARDHORIZON,False,True,False,False,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,False
COREINTERVALSTART,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COREINTERVALEND,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COMPOSITIONGREATER0_25,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COMPOSITION0_25TO0_1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COMPOSITION0_1TO0_01,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COMPOSITIONLESSTHAN0_01,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CARBONATEPERCENTAGE,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POROSITYPERCENTAGE,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PERMEABILITYPERCENTAGE,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
WATERSATURATIONPERCENTAGE,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OILSATURATIONPERCENTAGE,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COMMENTS,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
ENTITLEMENT,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
PARENTBARCODE,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TITLE,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CATEGORY,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AUTHOR,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
REF_NUM,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CONTRACTOR,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
LICENSE,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OILFIELD,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
TECTONICBLOCK,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
QUAD_BLOCK,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
REGION,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PUB_DATE,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PUBLISHER,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MEDIA,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VOLUME,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ENCLOSURE,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HOR_SCALE,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VERT_SCALE,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SURVEY_NAME,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
INTERVALSTART,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Unnamed: 10,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Unnamed: 11,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Unnamed: 12,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Unnamed: 13,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
INTERVALEND,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Unnamed: 15,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Unnamed: 16,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Unnamed: 17,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Unnamed: 18,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
