,LINK_WELL_DOCUMENT,TB_HORIZONDEPTHS,TB_WELLDEVIATION,TB_WELLDOCUMENTS,TBX_SCANNEDFILES
BARCODE,True,False,False,False,True
WELLNAME,True,True,True,True,False
BARCODE_1,False,True,True,True,False
BARCODE_2,False,True,True,False,False
BARCODE_3,False,True,True,False,False
BARCODE_4,False,True,True,False,False
BARCODE_5,False,True,False,False,False
BARCODE_6,False,True,False,False,False
SOURCE,False,True,True,True,False
STANDARDOILFIELD,False,True,True,False,False
HORIZON,False,True,False,False,False
STANDARDHORIZON,False,True,False,False,False
HORIZONDEPTHTOP,False,True,False,False,False
HORIZONDEPTHBOTTOM,False,True,False,False,False
FLOOR,False,True,False,False,False
COMMENTS,False,True,True,True,False
ENTITLEMENT,False,True,True,True,False
OILFIELD,False,False,True,False,False
MEASUREDDEPTH,False,False,True,False,False
INCLINATIONDEGREES,False,False,True,False,False
INCLINATIONMINUTES,False,False,True,False,False
INCLINATIONANGLE,False,False,True,False,False
AZIMUTHANGLE,False,False,True,False,False
INCLINATIONDATE,False,False,True,False,False
INCLINATIONTOOLTYPE,False,False,True,False,False
INCLINATIONTOOLNAME,False,False,True,False,False
STARTDEPTHDEVIATION,False,False,True,False,False
ENDDEPTHDEVIATION,False,False,True,False,False
DEVIATION,False,False,True,False,False
USERECORD,False,False,True,False,False
WRCATEGORY,False,False,False,True,False
WRDATE,False,False,False,True,False
WRAUTHOR,False,False,False,True,False
WRMAINSUBJECT,False,False,False,True,False
WROTHERSUBJECT,False,False,False,True,False
WRQUALITY,False,False,False,True,False
WRMEDIUM,False,False,False,True,False
CHAPTER,False,False,False,False,True
CHAPTERTITLE,False,False,False,False,True
FILENAME,False,False,False,False,True
LINKTYPE,False,False,False,False,True
