,LINK_SEISMIC_DOCUMENT,TB_ASCIIFILE,TB_DRAWINGSMAPS,TB_SEISMICDOCUMENTS,TB_SEISMICLINES,TB_SEISMICSECTIONS,TB_SEISMICSURVEYS,TBX_SCANNEDFILES
BARCODE,True,False,False,False,False,False,False,True
SURVEYNAME,True,False,False,True,True,True,True,False
BARCODE_1,False,True,True,True,True,True,True,False
BARCODE_2,False,True,True,False,True,True,True,False
BARCODE_3,False,True,True,False,True,True,True,False
BARCODE_4,False,True,True,False,True,True,True,False
PARENTBARCODE,False,True,True,False,False,False,False,False
TITLE,False,True,True,True,False,False,False,False
CATEGORY,False,True,True,False,False,False,False,False
SOURCE,False,True,True,True,True,True,True,False
OILFIELD,False,True,True,False,False,False,False,False
TECTONICBLOCK,False,True,True,False,False,False,False,False
REGION,False,True,True,False,False,False,False,False
PUB_DATE,False,True,True,False,False,False,False,False
PUBLISHER,False,True,True,False,False,False,False,False
MEDIA,False,True,True,False,False,False,False,False
ENCLOSURE,False,True,True,False,False,False,False,False
SURVEY_NAME,False,True,True,False,False,False,False,False
RESEARCHAREA,False,True,True,True,True,True,True,False
COMMENTS,False,True,True,True,True,True,True,False
ENTITLEMENT,False,True,True,True,True,True,True,False
AUTHOR,False,False,True,True,False,False,False,False
REF_NUM,False,False,True,False,False,False,False,False
CONTRACTOR,False,False,True,True,False,False,False,False
LICENSE,False,False,True,False,False,False,False,False
QUAD_BLOCK,False,False,True,False,False,False,False,False
VOLUME,False,False,True,False,False,False,False,False
HOR_SCALE,False,False,True,False,False,False,False,False
VERT_SCALE,False,False,True,False,False,False,False,False
WELLNAME,False,False,True,False,False,False,False,False
REPORTSUBJECT,False,False,False,True,False,False,False,False
COMPANY,False,False,False,True,False,False,True,False
REPORTDATE,False,False,False,True,False,False,False,False
DOCUMENTMEDIA,False,False,False,True,False,True,False,False
DIGITALFORMAT,False,False,False,True,False,True,False,False
DOCUMENTQUALITY,False,False,False,True,False,True,False,False
ORIG_REF_NUM,False,False,False,True,False,True,False,False
LINENUMBER,False,False,False,False,True,True,False,False
RECORDLENGTH,False,False,False,False,True,False,True,False
SAMPLEINTERVAL,False,False,False,False,True,True,False,False
GROUPINTERVAL,False,False,False,False,True,True,False,False
SPACINGINTERVAL,False,False,False,False,True,True,False,False
FIRSTSHOTPOINT,False,False,False,False,True,True,False,False
LASTSHOTPOINT,False,False,False,False,True,True,False,False
DIRECTION,False,False,False,False,True,False,False,False
SECTIONNAME,False,False,False,False,False,True,False,False
SECTIONTYPE,False,False,False,False,False,True,False,False
VELOCITYMODEL,False,False,False,False,False,True,True,False
FOLD,False,False,False,False,False,True,False,False
VERTICALSCALE,False,False,False,False,False,True,False,False
HORIZONTALSCALE,False,False,False,False,False,True,False,False
SURVEYTYPE,False,False,False,False,False,False,True,False
NOOFCROSSLINES3D,False,False,False,False,False,False,True,False
NOOFINLINES3D,False,False,False,False,False,False,True,False
ENVIRONMENT,False,False,False,False,False,False,True,False
GEOLOGICALBASIN,False,False,False,False,False,False,True,False
PROVINCE,False,False,False,False,False,False,True,False
CONCESSIONBLOCK,False,False,False,False,False,False,True,False
AREAFIELDSITE,False,False,False,False,False,False,True,False
SHOOTINGCONTRACTOR,False,False,False,False,False,False,True,False
DATESHOT,False,False,False,False,False,False,True,False
SURVEYVESSELNAME,False,False,False,False,False,False,True,False
PROCESSINGCONTRACTOR,False,False,False,False,False,False,True,False
PROCESSEDDATE,False,False,False,False,False,False,True,False
TOTALKM,False,False,False,False,False,False,True,False
SPINTERVAL,False,False,False,False,False,False,True,False
GROUPLENGTH,False,False,False,False,False,False,True,False
RECORDINGFORMAT,False,False,False,False,False,False,True,False
SAMPLERATE,False,False,False,False,False,False,True,False
CHAPTER,False,False,False,False,False,False,False,True
CHAPTERTITLE,False,False,False,False,False,False,False,True
FILENAME,False,False,False,False,False,False,False,True
LINKTYPE,False,False,False,False,False,False,False,True
